work_year,job_title,salary_in_usd,experience_level,employment_type,work_setting,company_location
2023,Machine Learning Engineer,267720,Senior,Full-time,In-person,United States
2023,Machine Learning Engineer,267720,Senior,Full-time,In-person,United States
2023,Machine Learning Engineer,267720,Senior,Full-time,In-person,United States
2023,Machine Learning Engineer,267720,Senior,Full-time,In-person,United States
2023,Machine Learning Engineer,267720,Senior,Full-time,In-person,United States
2023,Data Scientist,267100,Senior,Full-time,Remote,United States
2023,Data Scientist,267100,Senior,Full-time,Remote,United States
2023,Analytics Engineer,267000,Senior,Full-time,In-person,United States
2023,Data Engineer,266875,Senior,Full-time,In-person,United States
2023,Machine Learning Engineer,266500,Senior,Full-time,In-person,Canada
2023,Machine Learning Engineer,266500,Senior,Full-time,In-person,United States
2023,Data Science Engineer,266450,Senior,Full-time,In-person,United States
2023,Machine Learning Engineer,266400,Senior,Full-time,In-person,United States
2023,Data Scientist,266000,Senior,Full-time,In-person,United States
2023,Machine Learning Engineer,266000,Senior,Full-time,In-person,United States
2023,Machine Learning Engineer,265800,Senior,Full-time,Remote,United States
2023,Data Engineer,265800,Executive,Full-time,Remote,United States
2023,Data Scientist,265000,Senior,Full-time,Remote,United States
2023,Data Engineer,265000,Senior,Full-time,Remote,United States
2023,Data Engineer,265000,Senior,Full-time,In-person,United States
2023,Data Scientist,265000,Senior,Full-time,Remote,United States
2023,Data Engineer,265000,Senior,Full-time,Remote,United States
2023,Data Engineer,265000,Executive,Full-time,In-person,United States
2023,Data Scientist,265000,Senior,Full-time,Remote,United States
2023,Machine Learning Engineer,264400,Senior,Full-time,Remote,United States
2023,Machine Learning Engineer,263500,Senior,Full-time,Remote,United States
2023,Applied Scientist,262500,Senior,Full-time,In-person,United States
2023,ML Engineer,262269,Senior,Full-time,Remote,United States
2023,Machine Learning Engineer,262000,Senior,Full-time,In-person,United States
2023,Data Scientist,262000,Senior,Full-time,Remote,United States
2023,Data Scientist,262000,Senior,Full-time,Remote,United States
2023,Research Engineer,261500,Senior,Full-time,In-person,United States
2023,Machine Learning Engineer,261500,Senior,Full-time,In-person,United States
2023,Machine Learning Engineer,261500,Senior,Full-time,In-person,United States
2023,Data Scientist,260600,Mid-level,Full-time,In-person,United States
2023,Data Engineer,260000,Senior,Full-time,In-person,United States
2023,Applied Scientist,260000,Senior,Full-time,In-person,United States
2023,Machine Learning Engineer,260000,Senior,Full-time,In-person,United States
2023,Machine Learning Engineer,260000,Senior,Full-time,In-person,United States
2023,Applied Scientist,260000,Senior,Full-time,In-person,United States
2023,Director of Data Science,260000,Executive,Full-time,Remote,United States
2023,Applied Scientist,260000,Senior,Full-time,In-person,United States
2023,Applied Scientist,260000,Senior,Full-time,In-person,United States
2023,Machine Learning Engineer,260000,Senior,Full-time,Remote,United States
2023,Applied Scientist,260000,Senior,Full-time,In-person,United States
2023,Data Engineer,260000,Mid-level,Full-time,In-person,United States
2023,Data Engineer,260000,Senior,Full-time,In-person,United States
2023,Applied Scientist,260000,Senior,Full-time,In-person,United States
2023,Applied Scientist,260000,Senior,Full-time,In-person,United States
2023,Applied Scientist,260000,Senior,Full-time,In-person,United States
2023,Applied Scientist,260000,Senior,Full-time,In-person,United States
2023,Applied Scientist,260000,Senior,Full-time,In-person,United States
2023,Applied Scientist,260000,Senior,Full-time,In-person,United States
2023,Data Scientist,260000,Senior,Full-time,In-person,United States
2023,Applied Scientist,260000,Senior,Full-time,In-person,United States
2023,ML Engineer,260000,Senior,Full-time,Remote,United States
2023,Data Engineer,260000,Senior,Full-time,In-person,United States
2023,Applied Scientist,260000,Senior,Full-time,In-person,United States
